            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460680.997662037, A.D. 2025-Jan-05 11:56:38.0000, -1.045248545734450E+04,  8.727208608240053E+03,  6.274734403506652E+02, -5.242636577007262E+00, -1.545543024746603E+00,  4.866658444014782E+00,
2460680.997673611, A.D. 2025-Jan-05 11:56:39.0000, -1.045772728250231E+04,  8.725662374315132E+03,  6.323400603870933E+02, -5.240991211149995E+00, -1.546916324391671E+00,  4.866559233636242E+00,
2460680.997685185, A.D. 2025-Jan-05 11:56:40.0000, -1.046296746245633E+04,  8.724114767741890E+03,  6.372065808259998E+02, -5.239346199851412E+00, -1.548288396976359E+00,  4.866459328544664E+00,
2460680.997696759, A.D. 2025-Jan-05 11:56:41.0000, -1.046820599756045E+04,  8.722565789747328E+03,  6.420730009722415E+02, -5.237701543792520E+00, -1.549659243267837E+00,  4.866358729808769E+00,
2460680.997708333, A.D. 2025-Jan-05 11:56:42.0000, -1.047344288816922E+04,  8.721015441557667E+03,  6.469393201317506E+02, -5.236057243652398E+00, -1.551028864033722E+00,  4.866257438496262E+00,
2460680.997719907, A.D. 2025-Jan-05 11:56:43.0000, -1.047867813463790E+04,  8.719463724398374E+03,  6.518055376115301E+02, -5.234413300108204E+00, -1.552397260042088E+00,  4.866155455673852E+00,
2460680.997731482, A.D. 2025-Jan-05 11:56:44.0000, -1.048391173732242E+04,  8.717910639494125E+03,  6.566716527196542E+02, -5.232769713835176E+00, -1.553764432061454E+00,  4.866052782407233E+00,
2460680.997743056, A.D. 2025-Jan-05 11:56:45.0000, -1.048914369657937E+04,  8.716356188068832E+03,  6.615376647652680E+02, -5.231126485506630E+00, -1.555130380860785E+00,  4.865949419761105E+00,
2460680.997754630, A.D. 2025-Jan-05 11:56:46.0000, -1.049437401276604E+04,  8.714800371345644E+03,  6.664035730585854E+02, -5.229483615793970E+00, -1.556495107209487E+00,  4.865845368799150E+00,
2460680.997766204, A.D. 2025-Jan-05 11:56:47.0000, -1.049960268624038E+04,  8.713243190546918E+03,  6.712693769108884E+02, -5.227841105366688E+00, -1.557858611877401E+00,  4.865740630584050E+00,
2460680.997777778, A.D. 2025-Jan-05 11:56:48.0000, -1.050482971736102E+04,  8.711684646894251E+03,  6.761350756345270E+02, -5.226198954892362E+00, -1.559220895634811E+00,  4.865635206177473E+00,
2460680.997789352, A.D. 2025-Jan-05 11:56:49.0000, -1.051005510648725E+04,  8.710124741608464E+03,  6.810006685429164E+02, -5.224557165036662E+00, -1.560581959252425E+00,  4.865529096640083E+00,
2460680.997800926, A.D. 2025-Jan-05 11:56:50.0000, -1.051527885397905E+04,  8.708563475909605E+03,  6.858661549505388E+02, -5.222915736463363E+00, -1.561941803501384E+00,  4.865422303031531E+00,
2460680.997812500, A.D. 2025-Jan-05 11:56:51.0000, -1.052050096019703E+04,  8.707000851016943E+03,  6.907315341729396E+02, -5.221274669834321E+00, -1.563300429153253E+00,  4.865314826410459E+00,
2460680.997824074, A.D. 2025-Jan-05 11:56:52.0000, -1.052572142550251E+04,  8.705436868148970E+03,  6.955968055267289E+02, -5.219633965809507E+00, -1.564657836980018E+00,  4.865206667834501E+00,
2460680.997835648, A.D. 2025-Jan-05 11:56:53.0000, -1.053094025025743E+04,  8.703871528523412E+03,  7.004619683295784E+02, -5.217993625046986E+00, -1.566014027754087E+00,  4.865097828360277E+00,
2460680.997847222, A.D. 2025-Jan-05 11:56:54.0000, -1.053615743482442E+04,  8.702304833357206E+03,  7.053270219002217E+02, -5.216353648202937E+00, -1.567369002248283E+00,  4.864988309043397E+00,
2460680.997858796, A.D. 2025-Jan-05 11:56:55.0000, -1.054137297956676E+04,  8.700736783866525E+03,  7.101919655584529E+02, -5.214714035931638E+00, -1.568722761235841E+00,  4.864878110938453E+00,
2460680.997870370, A.D. 2025-Jan-05 11:56:56.0000, -1.054658688484839E+04,  8.699167381266754E+03,  7.150567986251267E+02, -5.213074788885479E+00, -1.570075305490405E+00,  4.864767235099037E+00,
2460680.997881944, A.D. 2025-Jan-05 11:56:57.0000, -1.055179915103390E+04,  8.697596626772513E+03,  7.199215204221556E+02, -5.211435907714977E+00, -1.571426635786029E+00,  4.864655682577713E+00,
